,region,sales_price,bedroom,bathroom,parking,dimensions
184,"Jardins, Sao Paulo",285000,1,1,2,29
185,"Ibirapuera, Sao Paulo",370000,1,1,2,45
186,"Jardins, Sao Paulo",1250000,2,1,2,94
187,"Cambuci, Sao Paulo",236000,0,1,2,24
188,"Barra  Funda, Sao Paulo",1170000,4,3,2,126
189,"Moema, Sao Paulo",1120000,2,3,2,85
190,"Moema, Sao Paulo",2450001,3,5,4,230
191,"Moema, Sao Paulo",1748000,3,1,2,182
192,"Interlagos, Sao Paulo",520000,3,3,2,76
193,"Sumarezinho, Sao Paulo",650000,2,1,2,105
194,"Jardim  Ampliação, Sao Paulo",359000,3,3,2,85
195,"Higienópolis, Sao Paulo",3299000,4,1,2,300
196,"Perdizes, Sao Paulo",1200000,3,2,3,154
197,"Aclimação, Sao Paulo",1700000,0,4,3,189
198,"Vila  Clementino, Sao Paulo",660000,2,2,2,55
199,"Santana, Sao Paulo",470000,3,1,2,66
200,"Perdizes, Sao Paulo",925000,3,3,2,110
201,"Vila  Uberabinha, Sao Paulo",765000,2,0,2,55
202,"Mooca, Sao Paulo",930000,3,3,2,100
203,"Perdizes, Sao Paulo",2650000,4,6,5,240
204,"Parque  Reboucas, Sao Paulo",223900,2,1,5,43
205,"Vila  Amália   Zona  Norte, Sao Paulo",300000,2,1,5,50
206,"Santana, Sao Paulo",1385000,3,5,3,130
207,"Perdizes, Sao Paulo",1200000,3,4,3,135
208,"Alto  da  Boa  Vista, Sao Paulo",745000,3,3,2,137
209,"Vila  Guarani  Zona  Sul, Sao Paulo",1099000,4,3,2,127
210,"Vila  Leopoldina, Sao Paulo",1540000,3,4,2,142
211,"Cambuci, Sao Paulo",1075000,3,4,2,105
212,"Jardins, Sao Paulo",1750000,3,3,2,109
213,"Pacaembu, Sao Paulo",750000,3,2,2,115
214,"Perdizes, Sao Paulo",2680000,4,4,4,250
215,"Pompéia, Sao Paulo",958000,2,1,2,76
216,"Vila  Mariana, Sao Paulo",1705000,3,3,3,148
217,"Ipiranga, Sao Paulo",650000,0,2,3,87
218,"Vila  Romana, Sao Paulo",855000,3,2,2,94
219,"Itaim  Bibi, Sao Paulo",19322000,4,3,6,570
220,"Santo  Amaro, Sao Paulo",197000,2,1,6,34
221,"Mooca, Sao Paulo",690000,3,3,6,160
222,"Vila  Olímpia, Sao Paulo",830000,1,1,6,42
223,"Cerqueira  César, Sao Paulo",1064000,3,1,6,159
224,"Vila  Olímpia, Sao Paulo",371000,1,1,6,32
225,"Moema, Sao Paulo",230000,1,1,6,29
226,"Jardim  Adhemar  de  Barros, Sao Paulo",585000,3,2,2,109
227,"Vila  Mariana, Sao Paulo",1150000,3,3,2,137
228,"Butantã, Sao Paulo",189000,2,1,2,41
229,"Chácara  Inglesa, Sao Paulo",470000,0,1,2,68
230,"Pompéia, Sao Paulo",590000,2,1,2,80
231,"Pirituba, Sao Paulo",205000,2,1,2,57
232,"Campo  Belo, Sao Paulo",3490000,3,5,4,192
233,"Vila  Suzana, Sao Paulo",1189900,4,5,4,238
234,"Brooklin, Sao Paulo",1200000,0,2,2,76
235,"Bela  Vista, Sao Paulo",900000,2,2,2,84
236,"Cerqueira  César, Sao Paulo",310000,1,1,2,29
237,"Itaim  Bibi, Sao Paulo",4100000,3,4,3,185
238,"Itaim  Bibi, Sao Paulo",290000,1,1,3,29
239,"Butantã, Sao Paulo",1450001,4,5,3,200
240,"Centro, Sao Paulo",1100000,3,5,3,81
241,"Vila  Leopoldina, Sao Paulo",1350000,3,3,2,114
242,"Vila  Andrade, Sao Paulo",255000,1,1,2,40
243,"Perdizes, Sao Paulo",720000,0,1,2,70
244,"Vila  Progredior, Sao Paulo",,0,1,2,
245,"Jardim  Paulista, Sao Paulo",3700000,4,4,3,270
246,"Campo  Belo, Sao Paulo",1600000,4,1,3,150
247,"Sumarezinho, Sao Paulo",550000,2,3,3,80
248,"Tatuapé, Sao Paulo",,2,3,3,
249,"Brooklin, Sao Paulo",2090000,4,5,3,158
250,"Perdizes, Sao Paulo",1299000,4,4,2,165
251,"Vila  Olímpia, Sao Paulo",320000,1,1,2,25
252,"Vila  Progredior, Sao Paulo",,1,1,2,
253,"Campo  Belo, Sao Paulo",750000,3,3,2,90
254,"Vila  Mariana, Sao Paulo",2490000,4,6,4,213
255,"Anália  Franco, Sao Paulo",670000,3,2,2,85
256,"Campo  Belo, Sao Paulo",,3,2,2,
257,"Campo  Belo, Sao Paulo",1780000,4,3,3,220
258,"Alto  da  Mooca, Sao Paulo",650000,2,2,3,65
259,"Tatuapé, Sao Paulo",1515000,4,5,3,215
260,"Bosque  da  Saúde, Sao Paulo",,4,5,3,
261,"Vila  Mariana, Sao Paulo",530000,1,1,3,36
262,"Brooklin, Sao Paulo",810000,3,3,3,110
263,"Butantã, Sao Paulo",305000,3,1,3,65
264,"Perdizes, Sao Paulo",900000,3,4,2,100
265,"Jardins, Sao Paulo",2998000,3,5,3,152
266,"Centro, Sao Paulo",181000,2,1,3,50
267,"Moema, Sao Paulo",650000,2,2,3,70
268,"Vila  Mariana, Sao Paulo",2130000,4,5,4,200
269,"Saúde, Sao Paulo",600000,0,2,4,50
270,"Tatuapé, Sao Paulo",,0,2,4,
271,"Chácara  Klabin, Sao Paulo",4831515,5,3,4,291
272,"Vila  Guarani  Zona  Sul, Sao Paulo",650000,3,2,2,72
273,"Mooca, Sao Paulo",425000,2,2,2,64
274,"Ipiranga, Sao Paulo",1220000,0,5,2,133
275,"Jardim  Bonfiglioli, Sao Paulo",800000,3,2,2,105
276,"Morumbi, Sao Paulo",2490261,4,6,3,212
277,"Pinheiros, Sao Paulo",7000000,4,6,4,332
278,"Pinheiros, Sao Paulo",805000,1,1,4,44
279,"Panamby, Sao Paulo",690000,1,2,2,82
280,"Saúde, Sao Paulo",,1,2,2,
281,"Vila  Mariana, Sao Paulo",880000,3,3,2,87
282,"Lapa, Sao Paulo",1500000,3,4,3,198
283,"Jardim  Europa, Sao Paulo",6890000,3,3,3,430
284,"Vila  Olímpia, Sao Paulo",310000,1,1,3,34
285,"Alto  da  Lapa, Sao Paulo",560000,2,2,3,65
286,"Santa  Cecília, Sao Paulo",179000,1,1,3,22
287,"Jardim  Fonte  do  Morumbi, Sao Paulo",1112531,2,2,2,131
288,"Vila  Nova  Conceição, Sao Paulo",1900000,1,2,2,108
289,"Moema, Sao Paulo",590000,1,1,2,45
290,"Bom  Retiro, Sao Paulo",640000,3,1,2,160
291,"Vila  Mariana, Sao Paulo",980000,2,2,2,76
292,"Paraíso, Sao Paulo",3185000,4,4,4,198
293,"Vila  Romana, Sao Paulo",800000,2,2,4,123
294,"Chácara  Klabin, Sao Paulo",2300000,3,5,5,228
295,"Campo  Belo, Sao Paulo",670000,0,2,2,110
296,"Vila  Mariana, Sao Paulo",,0,2,2,
297,"Vila  Prudente, Sao Paulo",329000,2,1,2,52
298,"Cidade  Monções, Sao Paulo",690000,3,2,2,80
299,"Barra  Funda, Sao Paulo",740000,3,1,2,82
300,"Campo  Belo, Sao Paulo",,3,1,2,
301,"Cerqueira  César, Sao Paulo",405000,1,1,2,37
302,"Moema, Sao Paulo",1070000,3,2,2,100
303,"Moema, Sao Paulo",615000,2,1,2,50
304,"Higienópolis, Sao Paulo",8500000,4,4,5,455
305,"Aclimação, Sao Paulo",315000,1,1,5,52
306,"Santana, Sao Paulo",440000,2,1,5,96
307,"Jardim  Bonfiglioli, Sao Paulo",390000,2,2,5,62
308,"Moema, Sao Paulo",1290000,2,3,5,90
309,"Alto  da  Lapa, Sao Paulo",575000,2,2,5,53
310,"Freguesia  do  Ó, Sao Paulo",300000,2,1,5,49
311,"Perdizes, Sao Paulo",4498000,5,6,5,300
312,"Itaim, Sao Paulo",2150000,3,2,2,170
313,"Jardim  Marajoara, Sao Paulo",515000,3,2,2,75
314,"Jardim  Marajoara, Sao Paulo",2300000,4,6,5,370
315,"Jardim  Paulista, Sao Paulo",2875000,3,1,3,250
316,"Moema, Sao Paulo",490000,1,1,3,56
317,"Tatuapé, Sao Paulo",399000,2,2,3,61
318,"Moema, Sao Paulo",1580001,3,3,3,170
319,"Pinheiros, Sao Paulo",4420000,3,4,3,229
320,"Vila  Mariana, Sao Paulo",1080000,2,2,3,85
321,"Jardins, Sao Paulo",320000,1,1,3,30
322,"Vila  Progredior, Sao Paulo",,1,1,3,
323,"Sumarezinho, Sao Paulo",410000,1,1,3,55
324,"Parque  Arariba, Sao Paulo",199000,2,1,3,41
325,"Pinheiros, Sao Paulo",6500000,6,7,6,492
326,"Jardim  Marajoara, Sao Paulo",,6,7,6,
327,"Morumbi, Sao Paulo",488000,3,3,2,96
328,"Vila  Andrade, Sao Paulo",799000,3,5,2,138
329,"Moema, Sao Paulo",425000,1,1,2,35
330,"Vila  Progredior, Sao Paulo",,1,1,2,
331,"Perdizes, Sao Paulo",1600000,4,5,3,190
332,"Morumbi, Sao Paulo",290000,3,1,3,65
333,"Santana, Sao Paulo",2500000,4,5,5,224
334,"Jardim  Paulista, Sao Paulo",3200001,4,4,3,243
335,"Jardim  América, Sao Paulo",2200000,4,3,2,195
336,"Bela  Vista, Sao Paulo",440000,2,2,2,62
337,"Higienópolis, Sao Paulo",620000,3,1,2,62
338,"Jardim  Marajoara, Sao Paulo",275000,2,1,2,50
339,"Saúde, Sao Paulo",480000,2,1,2,65
340,"Pinheiros, Sao Paulo",1260000,0,2,2,110
341,"Jardins, Sao Paulo",265000,1,1,2,31
342,"Jardim  Paulista, Sao Paulo",6000000,3,5,3,460
343,"Pinheiros, Sao Paulo",,3,5,3,
344,"Butantã, Sao Paulo",679000,2,2,2,91
345,"Jardim  Paulista, Sao Paulo",320000,1,1,2,33
346,"Santo  Amaro, Sao Paulo",888000,2,2,2,115
347,"Vila  Mariana, Sao Paulo",2500001,3,5,4,262
348,"Tatuapé, Sao Paulo",1500000,3,4,4,170
