,Unnamed: 0,region,sales_price,bedroom,bathroom,parking,dimensions,latitude,longitude,mean_price,std_price,price_meter,average
69,88,"Perdizes, Sao Paulo",1778000,4,5,3,180,-23.5379295,-46.680670510854,1407561.56599789,909665.465898378,9877.77777777778,9409.53370787521
70,89,"Vila Mariana, Sao Paulo",400000,1,1,3,44,-23.5837,-46.6327408242069,3831617.27837838,57698436.8535569,9090.90909090909,10752.8909823284
71,90,"Jardins, Sao Paulo",785000,2,2,3,100,-22.3436278,-49.0169154,1086111.02362205,1256021.80050732,7850.0,11843.3035711004
72,91,"Mooca, Sao Paulo",595000,3,2,2,76,-23.5617305,-46.5971404231074,643342.642512077,438909.920585585,7828.94736842105,6811.66160035022
73,92,"Pinheiros, Sao Paulo",147900,2,1,2,41,-23.567249,-46.7019515,9498833.46488294,133935791.599595,3607.31707317073,11657.2479284877
74,93,"Campo Belo, Sao Paulo",586000,0,1,2,50,-23.62673055,-46.6694214293408,1590889.81924883,1481225.99833736,11720.0,10388.3733034701
75,94,"Morumbi, Sao Paulo",335000,3,1,2,124,-23.5957392,-46.7072595387581,5063457.15289256,66800147.0710498,2701.61290322581,6114.79985112859
76,96,"Jardim Prudencia, Sao Paulo",840000,3,2,2,89,-23.64494605,-46.6725286248616,620142.857142857,345245.940717457,9438.20224719101,6777.47697761334
77,97,"Jardins, Sao Paulo",485000,1,1,2,27,-22.3436278,-49.0169154,1086111.02362205,1256021.80050732,17962.962962963,11843.3035711004
78,98,"Higienopolis, Sao Paulo",2760000,0,3,2,240,-20.8368569,-49.3881547,2011172.37823834,1602435.53969756,11500.0,10146.6353707394
79,99,"Vila Romana, Sao Paulo",852000,3,2,3,88,-21.2383197,-47.7796753,1181947.56521739,529745.481383932,9681.81818181818,9599.97320195427
80,100,"Jardins, Sao Paulo",2650000,2,1,3,80,-22.3436278,-49.0169154,1086111.02362205,1256021.80050732,33125.0,11843.3035711004
81,101,"Santana, Sao Paulo",450000,3,2,3,70,-23.499321,-46.6289326497014,995109.141914191,652917.387651109,6428.57142857143,7476.04391313302
82,102,"Brooklin, Sao Paulo",960000,0,2,2,58,-23.6268017,-46.6881279,1313120.3120155,827255.463301132,16551.724137931,11250.0325940017
83,103,"Vila Mariana, Sao Paulo",1890000,3,3,2,113,-23.5837,-46.6327408242069,3831617.27837838,57698436.8535569,16725.6637168142,10752.8909823284
84,104,"Jardim Paulista, Sao Paulo",1990000,2,1,2,158,-23.5674355,-46.6636917206251,4304926.06760204,66042742.7032011,12594.9367088608,12319.3530995925
85,105,"Jardim Paulista, Sao Paulo",2345000,0,2,2,164,-23.5674355,-46.6636917206251,4304926.06760204,66042742.7032011,14298.7804878049,12319.3530995925
86,106,"Jabaquara, Sao Paulo",278000,2,2,2,62,-23.6520656,-46.650037329077,370920.879120879,138901.045925575,4483.87096774194,6123.13967341241
87,107,"Pompeia, Sao Paulo",768000,3,2,2,72,-22.1088293,-50.1720753,957891.180257511,490757.041916436,10666.6666666667,9587.72284680743
88,108,"Sumare, Sao Paulo",950000,0,2,2,106,-22.8217964,-47.267105,969035.352564103,493268.626005734,8962.2641509434,10129.5457022427
89,109,"Bela Vista, Sao Paulo",595000,2,1,2,65,-23.5622095,-46.6477664878894,764672.640275387,602466.825978067,9153.84615384615,8904.73187153836
90,110,"Aclimacao, Sao Paulo",800000,0,2,2,100,-23.5671021,-46.6268011,1215050.93518519,1056923.07590018,8000.0,8585.89291658446
91,111,"Bom Retiro, Sao Paulo",540000,3,1,2,120,-23.5271385,-46.6368348465014,579380.952380952,382912.245845485,4500.0,5030.96930378465
92,112,"Bom Retiro, Sao Paulo",480000,3,1,2,68,-23.5271385,-46.6368348465014,579380.952380952,382912.245845485,7058.82352941176,5030.96930378465
93,113,"Brooklin, Sao Paulo",1383000,0,3,2,236,-23.6268017,-46.6881279,1313120.3120155,827255.463301132,5860.16949152542,11250.0325940017
94,114,"Morumbi, Sao Paulo",665000,3,4,2,125,-23.5957392,-46.7072595387581,5063457.15289256,66800147.0710498,5320.0,6114.79985112859
95,115,"Chacara Inglesa, Sao Paulo",950000,0,2,3,91,-23.608307,-46.6323198,3035931.74766355,16223141.8165555,10439.5604395604,9202.93926679169
96,116,"Jardim Paulista, Sao Paulo",653000,2,2,3,60,-23.5674355,-46.6636917206251,4304926.06760204,66042742.7032011,10883.3333333333,12319.3530995925
97,117,"Agua Branca, Sao Paulo",747000,3,3,2,93,-23.5212579,-46.6885155,1124235.63636364,1182038.94510049,8032.25806451613,8288.36729210497
98,118,"Barra Funda, Sao Paulo",687000,3,3,2,88,-23.5254616,-46.6675134,682101.714285714,342135.47445999,7806.81818181818,8351.14093307938
99,119,"Butanta, Sao Paulo",270000,2,1,2,62,-23.569131,-46.7218739532194,512459.368852459,305164.755923454,4354.83870967742,5858.58782947985
100,120,"Mooca, Sao Paulo",205900,2,1,2,44,-23.5617305,-46.5971404231074,643342.642512077,438909.920585585,4679.54545454545,6811.66160035022
101,121,"Itaquera, Sao Paulo",180000,3,1,2,57,-23.5352125,-46.4541810768779,7692587.38888889,44967009.3233629,3157.89473684211,4275.16302469189
102,122,"Campo Belo, Sao Paulo",470000,0,1,2,37,-23.62673055,-46.6694214293408,1590889.81924883,1481225.99833736,12702.7027027027,10388.3733034701
103,123,"Alto de Pinheiros, Sao Paulo",3300000,3,5,3,357,-23.5495495,-46.7121547864865,2240753.58333333,2070633.21642971,9243.6974789916,9565.72734823723
104,124,"Vila Buarque, Sao Paulo",605000,2,2,3,118,-23.5445621,-46.647552,558914.174603175,305616.567092817,5127.1186440678,7421.97249506382
105,125,"Vila Romana, Sao Paulo",1220000,3,2,2,101,-21.2383197,-47.7796753,1181947.56521739,529745.481383932,12079.2079207921,9599.97320195427
106,127,"Bela Vista, Sao Paulo",690000,2,2,3,142,-23.5622095,-46.6477664878894,764672.640275387,602466.825978067,4859.15492957746,8904.73187153836
107,128,"Vila Nova Conceicao, Sao Paulo",950000,3,2,3,142,-23.6350111,-46.641295,2955630.20350877,3300009.12304975,6690.14084507042,17094.8567928045
108,129,"Pinheiros, Sao Paulo",1260000,3,3,2,118,-23.567249,-46.7019515,9498833.46488294,133935791.599595,10677.9661016949,11657.2479284877
109,130,"Morumbi, Sao Paulo",987000,3,4,3,128,-23.5957392,-46.7072595387581,5063457.15289256,66800147.0710498,7710.9375,6114.79985112859
110,131,"Jardim Celeste, Sao Paulo",148900,2,1,3,41,-23.4855674,-47.4932116,198385.172839506,73043.8737158686,3631.70731707317,4023.83916121497
111,132,"Perdizes, Sao Paulo",1300000,3,2,3,165,-23.5379295,-46.680670510854,1407561.56599789,909665.465898378,7878.78787878788,9409.53370787521
112,134,"Aclimacao, Sao Paulo",1600000,3,3,2,196,-23.5671021,-46.6268011,1215050.93518519,1056923.07590018,8163.26530612245,8585.89291658446
113,135,"Vila Mariana, Sao Paulo",585000,2,1,2,70,-23.5837,-46.6327408242069,3831617.27837838,57698436.8535569,8357.14285714286,10752.8909823284
114,136,"Jardim Paulista, Sao Paulo",790000,2,1,2,70,-23.5674355,-46.6636917206251,4304926.06760204,66042742.7032011,11285.7142857143,12319.3530995925
115,137,"Vila Sonia, Sao Paulo",255000,2,1,2,50,-23.59993525,-46.7391623181189,569081.818181818,245949.639731574,5100.0,6514.75100026252
116,139,"Pompeia, Sao Paulo",620000,2,2,2,60,-22.1088293,-50.1720753,957891.180257511,490757.041916436,10333.3333333333,9587.72284680743
117,140,"Bom Retiro, Sao Paulo",750000,3,1,2,97,-23.5271385,-46.6368348465014,579380.952380952,382912.245845485,7731.9587628866,5030.96930378465
118,141,"Bela Vista, Sao Paulo",249000,1,1,2,55,-23.5622095,-46.6477664878894,764672.640275387,602466.825978067,4527.27272727273,8904.73187153836
119,142,"Pompeia, Sao Paulo",550000,2,2,2,55,-22.1088293,-50.1720753,957891.180257511,490757.041916436,10000.0,9587.72284680743
120,144,"Paraiso, Sao Paulo",790000,2,1,2,86,-21.015911,-48.776105,1902170.73076923,2255836.20716688,9186.04651162791,10680.1024605127
